NFC ;Serial;Helmet;Customer Name;date of manufacture;state
http://www.veldt.xyz/check?serial=QAA096A;QAA096A;;;;
http://www.veldt.xyz/check?serial=BAA097N;BAA097N;;;;
http://www.veldt.xyz/check?serial=GAA098E;GAA098E;;;;
http://www.veldt.xyz/check?serial=HAA099G;HAA099G;;;;
http://www.veldt.xyz/check?serial=NAA100P;NAA100P;;;;
http://www.veldt.xyz/check?serial=IAA101H;IAA101H;;;;
http://www.veldt.xyz/check?serial=YAA102T;YAA102T;;;;
http://www.veldt.xyz/check?serial=PAA103H;PAA103H;;;;
http://www.veldt.xyz/check?serial=TAA104G;TAA104G;;;;
http://www.veldt.xyz/check?serial=ZAA105A;ZAA105A;;;;
http://www.veldt.xyz/check?serial=RAA106D;RAA106D;;;;
http://www.veldt.xyz/check?serial=NAA107T;NAA107T;;;;
http://www.veldt.xyz/check?serial=CAA108Y;CAA108Y;;;;
http://www.veldt.xyz/check?serial=NAA109C;NAA109C;;;;
http://www.veldt.xyz/check?serial=OAA110D;OAA110D;;;;
http://www.veldt.xyz/check?serial=KAA111V;KAA111V;;;;
http://www.veldt.xyz/check?serial=AAA112R;AAA112R;;;;
http://www.veldt.xyz/check?serial=TAA113R;TAA113R;;;;
http://www.veldt.xyz/check?serial=NAA114T;NAA114T;;;;
http://www.veldt.xyz/check?serial=QAA115L;QAA115L;;;;
http://www.veldt.xyz/check?serial=OAA116S;OAA116S;;;;
http://www.veldt.xyz/check?serial=NAA117Q;NAA117Q;;;;
http://www.veldt.xyz/check?serial=SAA118T;SAA118T;;;;
http://www.veldt.xyz/check?serial=XAA119L;XAA119L;;;;
http://www.veldt.xyz/check?serial=TAA120N;TAA120N;;;;
http://www.veldt.xyz/check?serial=EAA121U;EAA121U;;;;
http://www.veldt.xyz/check?serial=PAA122R;PAA122R;;;;
http://www.veldt.xyz/check?serial=XAA123D;XAA123D;;;;
http://www.veldt.xyz/check?serial=KAA124B;KAA124B;;;;
http://www.veldt.xyz/check?serial=FAA125G;FAA125G;;;;
http://www.veldt.xyz/check?serial=BAA126H;BAA126H;;;;
http://www.veldt.xyz/check?serial=VAA127G;VAA127G;;;;
http://www.veldt.xyz/check?serial=LAA128R;LAA128R;;;;
http://www.veldt.xyz/check?serial=HAA129B;HAA129B;;;;
http://www.veldt.xyz/check?serial=BAA130C;BAA130C;;;;
http://www.veldt.xyz/check?serial=MAA131W;MAA131W;;;;
http://www.veldt.xyz/check?serial=DAA132V;DAA132V;;;;
http://www.veldt.xyz/check?serial=RAA133X;RAA133X;;;;
http://www.veldt.xyz/check?serial=FAA134Y;FAA134Y;;;;
http://www.veldt.xyz/check?serial=GAA135Y;GAA135Y;;;;
http://www.veldt.xyz/check?serial=HAA136F;HAA136F;;;;
http://www.veldt.xyz/check?serial=NAA137H;NAA137H;;;;
http://www.veldt.xyz/check?serial=IAA138W;IAA138W;;;;
http://www.veldt.xyz/check?serial=JAA139X;JAA139X;;;;
http://www.veldt.xyz/check?serial=WAA140D;WAA140D;;;;
